	order_s_in_text	sentence	word	tf_idf
0	1	В середине августа, перед рождением молодого месяца, вдруг наступили отвратительные погоды, какие так свойственны северному побережью Черного моря	['середина', 'август', 'рождение', 'молодой', 'месяц', 'наступить', 'отвратительный', 'погода', 'свойственный', 'северный', 'побережье', 'чёрный', 'море']	[0.17743380315571244, 0.23120072656617544, 0.23120072656617544, 0.1661931850266172, 0.17743380315571244, 0.19449909158773984, 0.23120072656617544, 0.20804457305356147, 0.23120072656617544, 0.23120072656617544, 0.23120072656617544, 0.17134293807512593, 0.14551277638872645]
1	2	То по целым суткам тяжело лежал над землею и морем густой туман, и тогда огромная сирена на маяке ревела днем и ночью, точно бешеный бык	['целый', 'сутки', 'тяжело', 'лежать', 'земля', 'море', 'густой', 'туман', 'огромный', 'сирена', 'маяк', 'реветь', 'день', 'ночью', 'точно', 'бешеный', 'бык']	[0.11797702619766355, 0.17680055560942826, 0.13102695264568454, 0.13102695264568454, 0.12066864328946798, 0.11127447606196728, 0.14138526200190105, 0.15909290880566465, 0.14138526200190105, 0.17680055560942826, 0.15909290880566465, 0.15909290880566465, 0.09902295003684478, 0.14138526200190105, 0.09561165903815733, 0.15909290880566465, 0.17680055560942826]
2	3	То с утра до утра шел не переставая мелкий, как водяная пыль, дождик, превращавший глинистые дороги и тропинки в сплошную густую грязь, в которой увязали надолго возы и экипажи	['утро', 'идти', 'переставать', 'мелкий', 'водяной', 'пыль', 'дождик', 'превращать', 'глинистый', 'дорога', 'тропинка', 'сплошной', 'густой', 'грязь', 'увязать', 'надолго', 'воз', 'экипаж']	[0.284692573652242, 0.1033798294843187, 0.1581899708084358, 0.1330783258231904, 0.1581899708084358, 0.1581899708084358, 0.1581899708084358, 0.1581899708084358, 0.1581899708084358, 0.11723464184087562, 0.142346286826121, 0.142346286826121, 0.1265026028438062, 0.1265026028438062, 0.1581899708084358, 0.1581899708084358, 0.142346286826121, 0.12140207584338218]
3	4	То задувал с северо-запада, со стороны степи свирепый ураган; от него верхушки деревьев раскачивались, пригибаясь и выпрямляясь, точно волны в бурю, гремели по ночам железные кровли дач, и казалось, будто кто-то бегает по ним в подкованных сапогах, вздрагивали оконные рамы, хлопали двери, и дико завывало в печных трубах	['задувать', 'северо-запад', 'сторона', 'степь', 'свирепый', 'ураган', 'верхушка', 'дерево', 'раскачиваться', 'пригибаться', 'выпрямляться', 'точно', 'волна', 'буря', 'греметь', 'ночь', 'железный', 'кровля', 'дача', 'казаться', 'кто-то', 'бегать', 'подковать', 'сапог', 'вздрагивать', 'оконный', 'рама', 'хлопать', 'дверь', 'дико', 'завывать', 'печный', 'труба']	[0.09107907410182668, 0.09107907410182668, 0.06547004258624314, 0.09107907410182668, 0.09107907410182668, 0.09107907410182668, 0.09107907410182668, 0.06989816487952308, 0.09107907410182668, 0.09107907410182668, 0.09107907410182668, 0.0492544910196568, 0.09107907410182668, 0.09107907410182668, 0.09107907410182668, 0.06749873318111022, 0.08195695302109998, 0.09107907410182668, 0.06749873318111022, 0.057323214941013445, 0.09107907410182668, 0.09107907410182668, 0.09107907410182668, 0.08195695302109998, 0.08195695302109998, 0.09107907410182668, 0.09107907410182668, 0.09107907410182668, 0.059521720006122894, 0.09107907410182668, 0.09107907410182668, 0.09107907410182668, 0.09107907410182668]
4	5	Несколько рыбачьих баркасов заблудилось в море, а два и совсем не вернулись: только спустя неделю повыбрасывало трупы рыбаков в разных местах берега Обитатели пригородного морского курорта — большей частью греки и евреи, жизнелюбивые и мнительные, как все южане, — поспешно перебирались в город	['несколько', 'рыбачий', 'баркас', 'заблудиться', 'море', 'вернуться', 'спустя', 'неделя', 'повыбрасывать', 'труп', 'рыбак', 'разный', 'место', 'берег', 'обитатель', 'пригородный', 'морской', 'курорт', 'больший', 'часть', 'грек', 'еврей', 'жизнелюбивый', 'мнительный', 'всё', 'южанин', 'поспешно', 'перебираться', 'город']	[0.06642855859698812, 0.09326136033435514, 0.10364170501242347, 0.10364170501242347, 0.06522986527770495, 0.07073679089382606, 0.10364170501242347, 0.10364170501242347, 0.10364170501242347, 0.08288101565628682, 0.09326136033435514, 0.10364170501242347, 0.06522986527770495, 0.08288101565628682, 0.10364170501242347, 0.10364170501242347, 0.07450039328779391, 0.09326136033435514, 0.0641200486097256, 0.07953929106980212, 0.10364170501242347, 0.10364170501242347, 0.10364170501242347, 0.10364170501242347, 0.042577842542004696, 0.10364170501242347, 0.10364170501242347, 0.10364170501242347, 0.0641200486097256]
5	6	По размякшему шоссе без конца тянулись ломовые дроги, перегруженные всяческими домашними вещами: тюфяками, диванами, сундуками, стульями, умывальниками, самоварами	['размякнуть', 'шоссе', 'конец', 'тянуться', 'ломовой', 'дрога', 'перегрузить', 'всяческий', 'домашний', 'вещь', 'тюфяк', 'диван', 'сундук', 'стул', 'умывальник', 'самовар']	[0.18785059033501753, 0.1690362156060187, 0.13140746614802104, 0.18785059033501753, 0.18785059033501753, 0.18785059033501753, 0.18785059033501753, 0.1690362156060187, 0.14416496506401635, 0.13140746614802104, 0.18785059033501753, 0.1392161371860398, 0.18785059033501753, 0.14416496506401635, 0.18785059033501753, 0.18785059033501753]
6	7	Жалко, и грустно, и противно было глядеть сквозь мутную кисею дождя на этот жалкий скарб, казавшийся таким изношенным, грязным и нищенским; на горничных и кухарок, сидевших на верху воза на мокром брезенте с какими-то утюгами, жестянками и корзинками в руках, на запотевших, обессилевших лошадей, которые то и дело останавливались, дрожа коленями, дымясь и часто нося боками, на сипло ругавшихся дрогалей, закутанных от дождя в рогожи	['дождь', 'жалко', 'грустно', 'противно', 'глядеть', 'сквозь', 'мутный', 'кисея', 'жалкий', 'скарб', 'казаться', 'износить', 'грязный', 'нищенский', 'горничная', 'кухарка', 'сидеть', 'верх', 'воз', 'мокрый', 'брезент', 'утюг', 'жестянка', 'корзинка', 'рука', 'запотеть', 'обессилеть', 'лошадь', 'дело', 'останавливаться', 'дрожать', 'колено', 'дымиться', 'часто', 'носить', 'бок', 'сипнуть', 'ругаться', 'дрогаль', 'закутать', 'рогожа']	[0.12878949760458566, 0.05491998669105384, 0.07156212965143524, 0.06439474880229283, 0.04586733807887275, 0.07156212965143524, 0.07156212965143524, 0.07156212965143524, 0.06439474880229283, 0.07156212965143524, 0.04503966888222485, 0.07156212965143524, 0.06439474880229283, 0.07156212965143524, 0.06439474880229283, 0.06439474880229283, 0.04503966888222485, 0.07156212965143524, 0.06439474880229283, 0.06439474880229283, 0.07156212965143524, 0.07156212965143524, 0.07156212965143524, 0.07156212965143524, 0.033679639007947175, 0.07156212965143524, 0.07156212965143524, 0.05491998669105384, 0.04355995681677617, 0.06439474880229283, 0.05491998669105384, 0.06439474880229283, 0.07156212965143524, 0.05491998669105384, 0.05144074774633389, 0.07156212965143524, 0.07156212965143524, 0.07156212965143524, 0.07156212965143524, 0.07156212965143524, 0.07156212965143524]
7	8	Еще печальнее было видеть оставленные дачи с их внезапным простором, пустотой и оголенностью, с изуродованными клумбами, разбитыми стеклами, брошенными собаками и всяческим дачным сором из окурков, бумажек, черепков, коробочек и аптекарских пузырьков Но к началу сентября погода вдруг резко и совсем нежданно переменилась	['ещё', 'печальный', 'видеть', 'оставить', 'дача', 'внезапный', 'простор', 'пустота', 'оголенность', 'изуродовать', 'клумба', 'разбитый', 'стекло', 'бросить', 'собака', 'всяческий', 'дачный', 'сором', 'окурок', 'бумажка', 'черепок', 'коробочка', 'аптекарский', 'пузырёк', 'начало', 'сентябрь', 'погода', 'резко', 'нежданно', 'перемениться']	[0.050015315568012475, 0.09015264832320997, 0.048310231486433104, 0.07424860649922123, 0.07424860649922123, 0.10018698151200935, 0.09015264832320997, 0.09015264832320997, 0.10018698151200935, 0.10018698151200935, 0.09015264832320997, 0.10018698151200935, 0.09015264832320997, 0.08011831513441059, 0.10018698151200935, 0.09015264832320997, 0.08428293968802059, 0.10018698151200935, 0.09015264832320997, 0.08428293968802059, 0.10018698151200935, 0.10018698151200935, 0.10018698151200935, 0.10018698151200935, 0.08428293968802059, 0.09015264832320997, 0.09015264832320997, 0.09015264832320997, 0.10018698151200935, 0.10018698151200935]
8	9	Сразу наступили тихие безоблачные дни, такие ясные, солнечные и теплые, каких не было даже в июле	['сразу', 'наступить', 'тихий', 'безоблачный', 'день', 'ясный', 'солнечный', 'тёплый', 'июль']	[0.22792965954677283, 0.28094313229340195, 0.28094313229340195, 0.33395660504003116, 0.18704335006959566, 0.28094313229340195, 0.33395660504003116, 0.25629327122491796, 0.33395660504003116]
9	10	На обсохших сжатых полях, на их колючей желтой щетине заблестела слюдяным блеском осенняя паутина	['обсохнуть', 'сжатый', 'поле', 'колючий', 'жёлтый', 'щетина', 'заблестеть', 'слюдяной', 'блеск', 'осенний', 'паутина']	[0.27323722230548003, 0.27323722230548003, 0.24587085906329992, 0.27323722230548003, 0.24587085906329992, 0.27323722230548003, 0.27323722230548003, 0.27323722230548003, 0.27323722230548003, 0.2298625627855107, 0.27323722230548003]
10	11	Успокоившиеся деревья бесшумно и покорно роняли желтые листья Княгиня Вера Николаевна Шеина, жена предводителя дворянства, не могла покинуть дачи, потому что в их городском доме еще не покончили с ремонтом	['успокоиться', 'дерево', 'бесшумно', 'покорно', 'ронять', 'жёлтый', 'лист', 'княгиня', 'вера', 'николаевич', 'шеин', 'жена', 'предводитель', 'дворянство', 'мочь', 'покинуть', 'дача', 'городской', 'дом', 'ещё', 'покончить', 'ремонт']	[0.1092522479105599, 0.10484724731928462, 0.13661861115274002, 0.11493128139275535, 0.13661861115274002, 0.12293542953164996, 0.11493128139275535, 0.07388173652948521, 0.04868686336894149, 0.06237004499003155, 0.07956077001168066, 0.10124809977166532, 0.12293542953164996, 0.12293542953164996, 0.0664337000459093, 0.13661861115274002, 0.10124809977166532, 0.1092522479105599, 0.0774808840771045, 0.06820270304728974, 0.11493128139275535, 0.13661861115274002]
11	12	И теперь она очень радовалась наступившим прелестным дням, тишине, уединению, чистому воздуху, щебетанью на телеграфных проволоках ласточек, ста́ившихся к отлету, и ласковому соленому ветерку, слабо тянувшему с моря Кроме того, сегодня был день ее именин — 17 сентября	['день', 'очень', 'радоваться', 'наступить', 'прелестный', 'тишина', 'уединение', 'чистый', 'воздух', 'щебетание', 'телеграфный', 'проволока', 'ласточка', 'ста́ившийся', 'отлёт', 'ласковый', 'солёный', 'ветерок', 'слабо', 'тянуть', 'море', 'кроме', 'сегодня', 'именины', '17', 'сентябрь']	[0.12469556671306378, 0.05413116300037054, 0.10016960924801108, 0.09364771076446732, 0.10016960924801108, 0.09364771076446732, 0.11131886834667705, 0.09364771076446732, 0.08249845166580136, 0.11131886834667705, 0.10016960924801108, 0.11131886834667705, 0.11131886834667705, 0.11131886834667705, 0.11131886834667705, 0.10016960924801108, 0.11131886834667705, 0.11131886834667705, 0.11131886834667705, 0.09364771076446732, 0.07006170715012754, 0.08001894093874161, 0.08249845166580136, 0.09364771076446732, 0.11131886834667705, 0.10016960924801108]
