word,frequency
кажд,6
ден,4
мир,3
долж,3
снов,2
окн,2
бел,2
вызыва,2
бо,2
чувств,2
закрыв,2
глаз,2
ве,2
идет,2
войн,2
песн,1
слов,1
ноч,1
сна,1
врем,1
зим,1
весн,1
звезд,1
неб,1
кусок,1
мор,1
дожд,1
глоток,1
яблок,1
мест,1
упаст,1
вор,1
возможн,1
украст,1
собак,1
палк,1
кост,1
волк,1
зуб,1
злост,1
стад,1
пастух,1
тел,1
дух,1
шаг,1
след,1
тьма,1
свет,1
хочеш,1
измен,1
сможеш,1
приня,1
встат,1
выйт,1
ряд,1
вон,1
сест,1
электрическ,1
стул,1
трон,1
