word,frequency
город,4
звезд,4
имен,3
солнц,3
войн,3
земл,2
свет,2
две,2
тысяч,2
лет,2
молод,2
красн,2
помн,2
слов,2
'',2
бел,1
снег,1
сер,1
лед,1
растреска,1
одеял,1
лоскутн,1
дорожн,1
петл,1
плывут,1
облак,1
закрыв,1
небесн,1
желт,1
дым,1
прожит,1
особ,1
причин,1
дел,1
лекарств,1
прот,1
морщин,1
кров,1
час,1
прост,1
цвет,1
трав,1
снов,1
жив,1
согрет,1
луч,1
зна,1
судьб,1
люб,1
живет,1
закон,1
ком,1
умира,1
чин,1
способ,1
дотянут,1
счит,1
сон,1
упаст,1
опален,1
