word,frequency
жду,4
ответ,4
надежд,4
скор,4
конч,4
лет,4
ден,3
окн,3
год,3
сказа,2
дожд,2
идет,2
рад,2
тен,2
пок,2
банк,2
выключа,1
телевизор,1
пиш,1
письм,1
мог,1
смотрет,1
дерьм,1
сил,1
зап,1
заб,1
телефон,1
звон,1
хотел,1
встал,1
одел,1
пошел,1
точн,1
побежа,1
посла,1
уста,1
ноч,1
спал,1
погод,1
повезл,1
четверт,1
жарк,1
сух,1
тепл,1
бо,1
дни,1
идут,1
черед,1
ед,1
пьем,1
вобщ,1
весел,1
жив,1
магнитофон,1
слома,1
сиж,1
тишин,1
вполн,1
стройк,1
работа,1
кран,1
закр,1
пят,1
угл,1
рестора,1
стол,1
сто,1
тюльпа,1
стака,1
уйдут,1
жизн,1
пройдет,1
сот,1
масл,1
вниз,1
упадет,1
бутерброд,1
час,1
нам,1
повезет,1
