word,frequency
мам,6
кто-т,4
тяжел,3
больн,3
зна,3
сошл,3
ум,3
долж,3
зерн,2
дожд,2
поздн,2
двер,2
яд,2
рад,2
сильн,2
рук,2
проч,2
сто,2
плыт,2
упа,1
земл,1
прос,1
нуж,1
разреж,1
груд,1
посмотр,1
внутр,1
увид,1
гор,1
огн,1
ден,1
час,1
миг,1
встат,1
подход,1
ключ,1
вышиб,1
плеч,1
стал,1
пальц,1
сжат,1
кулак,1
удар,1
выш,1
кист,1
терза,1
плот,1
вмест,1
кров,1
жил,1
заст,1
медлен,1
разрушен,1
мир,1
разбит,1
лбы,1
разлома,1
надв,1
хлеб,1
плачет,1
молч,1
умет,1
сказа,1
инач,1
тысяч,1
слов,1
важн,1
крепост,1
берег,1
дума,1
