word,frequency
наш,13
перем,12
треб,6
глаз,4
ден,3
сердц,3
смех,3
слез,3
пульсац,3
вен,3
ждем,3
рук,3
вмест,2
сигарет,2
ча,2
стол,2
нам,2
тепл,1
зелен,1
стекл,1
огн,1
дым,1
сетк,1
календар,1
выхвач,1
красн,1
солнц,1
сгора,1
дотл,1
догора,1
пыла,1
город,1
пада,1
тен,1
электрическ,1
свет,1
продолжа,1
коробк,1
спичек,1
пуст,1
кухн,1
син,1
цветк,1
гор,1
газ,1
схем,1
прост,1
наход,1
мож,1
похваста,1
мудрост,1
умел,1
жест,1
нужн,1
поня,1
замыка,1
круг,1
станов,1
страшн,1
что-т,1
меня,1
