word,frequency
саш,10
мастер,4
слов,4
клинк,4
гляд,4
ладон,4
пришел,4
издалек,4
прошел,4
огон,4
дам,4
геро,2
шляп,2
шпаг,2
очен,1
люб,1
книг,1
мест,1
хочет,1
нос,1
страусин,1
пер,1
хвата,1
цепля,1
прям,1
бедр,1
бьет,1
дуэл,1
охран,1
чест,1
колет,1
враг,1
предлага,1
сест,1
гоня,1
негодя,1
хворостин,1
кор,1
разда,1
крестьян,1
негодяйск,1
добр,1
ум,1
полноч,1
лезет,1
уход,1
утр,1
высок,1
окон,1
броса,1
лепестк,1
борец,1
справедлив,1
шаг,1
легк,1
поет,1
мандолин,1
крас,1
аполлон,1
латын,1
говор,1
цицерон,1
знает,1
неприступн,1
стен,1
взгляд,1
охот,1
убива,1
каба,1
