word,frequency
сказк,6
снов,4
окн,4
стран,4
конц,3
тел,3
солнц,2
несчастлив,2
заболел,2
нов,1
начина,1
ден,1
утр,1
прожектор,1
бьет,1
молч,1
телефон,1
отключ,1
неб,1
бо,1
кажд,1
кажет,1
сон,1
экран,1
стуч,1
пулемет,1
дожд,1
улиц,1
осен,1
идет,1
стен,1
кирпичей-облак,1
крепк,1
дерев,1
чум,1
весн,1
вниз,1
лет,1
ладони-лист,1
маха,1
нам,1
свысок,1
несчастив,1
придет,1
собира,1
-скажет,1
пошл,1
отда,1
земл,1
допел,1
чуть-чут,1
дода,1
любв,1
дел,1
