word,frequency
завтр,6
след,6
соб,6
кто-т,5
буд,3
осторож,3
дом,2
где-т,2
сегодн,1
кому-т,1
говор,1
свидан,1
скажут,1
проща,1
навсегд,1
заалеет,1
сердечн,1
ран,1
вернувш,1
застанет,1
руин,1
город,1
сорвет,1
высок,1
кран,1
утр,1
постел,1
поймет,1
неизлечим,1
выйд,1
попадет,1
машин,1
одн,1
больниц,1
дрогнет,1
рук,1
молод,1
хирург,1
лес,1
нарвет,1
мин,1
ноч,1
нам,1
пролетел,1
самолет,1
упадет,1
океа,1
погибнут,1
пассажир,1
знает,1
войн,1
эпидем,1
снежн,1
бура,1
космос,1
черн,1
дыр,1
