word,frequency
транквилизатор,4
понима,3
выхож,2
зонт,2
нрав,2
чем-т,2
парадн,1
раскрыва,1
поток,1
атмосферн,1
осадк,1
каприз,1
природ,1
погод,1
у-,1
2,1
метеоролог,1
сказа,1
дожд,1
недолг,1
разобра,1
ве,1
приемник,1
опытн,1
практик,1
трудн,1
сдержа,1
такж,1
характер,1
начина,1
пут,1
остановк,1
трамв,1
закрыва,1
экспериментатор,1
проезжа,1
трамва,1
грем,1
удал,1
направля,1
дом,1
улыба,1
камн,1
вреза,1
окн,1
молн,1
индр,1
нахож,1
дел,1
довольн,1
забавн,1
нужн,1
развлеч,1
леч,1
душевн,1
травм,1
